subject_id,new_key,lakename,county,url_front,url_back,comments,
59070602,2-802,CLOVERLEAF,ALGER,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/ALGER_CLOVERLEAF_SUMM_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/ALGER_CLOVERLEAF_SUMM_0001_2.jpeg,,
82940950,2-801,CLOVERLEAF,ALGER,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_CLOVERLEAF_SUMM_0002_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_CLOVERLEAF_SUMM_0002_2.jpeg,,
58687731,39-145,EAGLE,KALAMAZOO,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Kalamazoo_Eagle_SUMM_018.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Kalamazoo_Eagle_SUMM_019.jpg,,
58687732,39-275,EAGLE,KALAMAZOO,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Kalamazoo_Eagle_SUMM_020.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Kalamazoo_Eagle_SUMM_021.jpg,,
58687734,39-145,EAGLE,KALAMAZOO,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Kalamazoo_Eagle2S_9W_S2_SUMM_024.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Kalamazoo_Eagle2S_9W_S2_SUMM_025.jpg,,
58687735,39-145,EAGLE,KALAMAZOO,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Kalamazoo_Eagle2S_9W_S2_SUMM_026.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Kalamazoo_Eagle2S_9W_S2_SUMM_027.jpg,,
58643122,40-61,EAST,KALKASKA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_East26N_7W_S21-22_SUMM_002.jpg,NA,,
58643123,40-96,EAST,KALKASKA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_East27N_5W_S6_SUMM_004.jpg,NA,,
58687688,36-1794,HOLMES,IRON,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Iron_Holmes46N_36W_S29-32_SUMM_001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Iron_Holmes46N_36W_S29-32_SUMM_002.jpg,,
58687689,36-231,HOLMES,IRON,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Iron_Holmes43N_31W_S24_SUMM_008.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Iron_Holmes43N_31W_S24_SUMM_009.jpg,,
58687960,52-639,ISLAND,MARQUETTE,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Marquette_Island_SUMM_20191202101038966_0005.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Marquette_Island_SUMM_20191202101038966_0006.jpg,,
58687961,52-639,ISLAND,MARQUETTE,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Marquette_Island_SUMM_20191202100549331_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Marquette_Island_SUMM_20191202100549331_0002.jpg,,
59070516,62-85,JOHNFORD,NEWAYGO,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/single/NEWAYGO_JOHNFORD_SUMM_0001.jpeg,NA,,
59071344,62-85,JOHNFORD,NEWAYGO,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/NEWAYGO_JOHNFORD_SUMM_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/NEWAYGO_JOHNFORD_SUMM_0001_2.jpeg,,
59071162,52-255,JOHNSON,MARQUETTE,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Marquette_Johnson45N_25W_S27_SUMM_137.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Marquette_Johnson45N_25W_S27_SUMM_138.jpg,,
