subject_id,data.aligned_text,data.consensus_text,column_name,data,units,URL_front,URL_back
58642823,"[['3.1', '3.1', '9.2']]",3.1,6th row Mean Length ,3.1,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Oscoda_Loon_GROW_20191210112634423_0001.jpeg,
58642823,"[['11', '11', '3']]",11,7th row Number of Fish ,11,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Oscoda_Loon_GROW_20191210112634423_0001.jpeg,
58642823,"[['2.6-5.4', '2.6-5.4', '9.7-10.4']]",2.6-5.4,7th row Length Range ,2.6-5.4,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Oscoda_Loon_GROW_20191210112634423_0001.jpeg,
58642823,"[['3.7', '3.7', '10.1']]",3.7,7th row Mean Length ,3.7,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Oscoda_Loon_GROW_20191210112634423_0001.jpeg,
58642825,"[['8.8', '8.8', '9.2', '8.6']]",8.8,7th row Mean Length ,8.8,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Otsego_Dixon_GROW_10.jpeg,
58642867,"[['8', '0', '0']]",0,First row Number of Fish ,0,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/VanBuren_Saddle_GROW_1.jpeg,
58642867,"[['2.8-3.8', '0']]",2.8-3.8,First row Length Range ,NA,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/VanBuren_Saddle_GROW_1.jpeg,
58642867,"[['3.21', '0']]",3.21,First row Mean Length ,NA,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/VanBuren_Saddle_GROW_1.jpeg,
58642867,"[['6.2', '7.07', '6.20', '6.20']]",6.2,6th row Mean Length ,6.2,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/VanBuren_Saddle_GROW_1.jpeg,
58642867,"[['6.0-6.6', '6-6.6', '6.0-6.6']]",6.0-6.6,8th row Length Range ,6.0-6.6,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/VanBuren_Saddle_GROW_1.jpeg,
58642867,"[['6.3', '6.30', '6.30']]",6.3,8th row Mean Length ,6.3,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/VanBuren_Saddle_GROW_1.jpeg,
58642883,"[['6.7-74', '6.7-7.4', '6.7-7.4', '6.7-7.4', '6.7'], ['', '', '', '', '7.4']]",6.7-7.4 7.4,7th row Length Range ,6.7-7.4,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Washtenaw_Joslin_GROW_20200225125514132_0020.jpg,
58746041,"[['.', '.', '3.6'], ['.', '.', ''], ['.', '.', '']]",. . .,Second row Length Range ,NA,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Washtenaw_Dead2_GROW_20200218133112870_0035.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Washtenaw_Deaad2_GROW_20200218133112870_0036.jpg
58746041,"[['.', '.', '8.5'], ['.', '.', ''], ['.', '.', '']]",. . .,8th row Length Range ,NA,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Washtenaw_Dead2_GROW_20200218133112870_0035.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Washtenaw_Deaad2_GROW_20200218133112870_0036.jpg
58746046,"[['.', '7.3', '.'], ['.', '', '.'], ['.', '', '.']]",. . .,Second row Length Range ,NA,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/VanBuren_Scott_GROW_039.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/VanBuren_Scott_GROW_038.jpeg
58746054,"[['6', '6', '7.8-8.3', '3']]",6,6th row Number of Fish ,6,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/VanBuren_Scott_GROW_003.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/VanBuren_Scott_GROW_002.jpeg
