"subject_id","methylorange_alk_min_ppm","methylorange_alk_max_ppm","notes"
63264553,66,82,NA
63264558,147,162,NA
63264562,110,176,NA
63264623,21,22,NA
63264624,6,8,NA
63264628,56,57,NA
63264639,NA,NA,NA
63264661,32,33,NA
63264665,36,57,NA
63264666,94,98,NA
63264684,1.5,3,NA
63264699,18,29,NA
63264716,153,198,NA
63264719,168,195,NA
63264724,136,194,NA
63264726,112,125,NA
63264728,172,183,NA
63264733,175,189,NA
63264738,241,250,NA
63264742,215,221,NA
63264749,135,143,NA
63264758,NA,NA,NA
63264760,140,165,NA
63264761,60,62,NA
63264764,87,92,NA
63264766,151,156,NA
63264767,151,156,NA
63264775,103,175,NA
63264782,155,181,NA
63264796,NA,NA,NA
63264801,NA,NA,NA
63264806,47,51,NA
63264839,NA,NA,NA
63264843,NA,NA,NA
63264869,104,145,NA
63264870,140,245,NA
63264872,153.9,171,NA
63264875,195,215,NA
63264879,128,154,NA
63264881,100,133,NA
63264882,130,280,NA
63264885,188,260,NA
63264895,188,191,NA
63264897,184,198,NA
63264910,3,11,NA
63264916,78,87,NA
63264921,112,130,NA
63264928,18,30,NA
63264942,110,163,NA
63264946,220,270,NA
63264947,84,93,NA
63264950,146,173,NA
63264961,125,132,NA
63264963,74,90,NA
63264967,170,220,NA
63264973,164,183,NA
63264975,108,111,NA
63264984,88,94,NA
63264991,8,15,NA
63264995,5,11,NA
63265016,27.36,34.2,NA
63265020,198,203,NA
63265027,105,160,NA
