"subject_id","resorts_min_n","liveries_min_n","cottages_min_n","hotels_homes_min_n","resorts_max_n","liveries_max_n","cottages_max_n","hotels_homes_max_n"
63264694,0,0,1,0,NA,NA,NA,NA
63264695,0,1,10,0,NA,NA,NA,NA
63264696,0,0,0,0,NA,NA,NA,NA
63264697,1,0,23,1,NA,NA,NA,NA
63264698,2,2,9,0,NA,NA,NA,NA
63264699,4,1,50,NA,NA,NA,NA,NA
63264700,0,0,25,0,NA,NA,NA,NA
63264701,0,0,3,0,NA,NA,NA,NA
63264702,0,0,0,0,NA,NA,NA,NA
63264703,0,0,3,0,NA,NA,NA,NA
63264704,0,0,0,0,NA,NA,NA,NA
63264705,1,1,4,0,NA,NA,NA,NA
63264706,NA,NA,1,NA,NA,NA,NA,NA
63264707,NA,NA,20,NA,NA,NA,NA,NA
63264708,1,1,21,2,NA,NA,NA,NA
63264710,0,0,1,0,NA,NA,NA,NA
63264711,0,0,0,NA,NA,NA,NA,NA
63264712,0,0,0,0,NA,NA,NA,NA
63264713,1,1,15,0,NA,NA,NA,NA
63264714,0,2,3,0,NA,NA,NA,NA
63264715,0,0,0,0,NA,NA,NA,NA
63264716,0,1,50,0,NA,NA,NA,NA
63264717,0,0,0,0,NA,NA,NA,NA
63264718,0,0,1,0,NA,NA,NA,NA
63264719,0,0,0,0,NA,NA,NA,NA
63264720,0,2,59,0,NA,NA,NA,NA
63264721,1,1,14,0,NA,NA,NA,NA
63264722,0,0,50,0,NA,NA,NA,NA
63264723,0,0,0,0,NA,NA,NA,NA
63264724,NA,1,NA,NA,NA,NA,NA,NA
63264725,0,0,0,0,NA,NA,NA,NA
63264727,0,0,380,0,NA,NA,NA,NA
63264729,NA,1,NA,0,NA,NA,NA,NA
63264730,0,1,45,0,NA,NA,NA,NA
63264732,1,1,150,NA,NA,NA,NA,NA
63264733,0,0,0,0,NA,NA,NA,NA
63264734,0,0,0,0,NA,NA,NA,NA
63264735,0,0,1,0,NA,NA,NA,NA
63264737,2,6,130,NA,NA,NA,NA,NA
