subject_id,Filename,Reason for Removal,Removed?
58755308,Washtenaw_Joslin_GROW_20200225125514132_0014.jpeg,duplicate,
58755309,Washtenaw_Joslin_GROW_20200225125514132_0074.jpeg,duplicate,
58755310,Washtenaw_Joslin_GROW_20200225125514132_0055.jpeg,duplicate,
58755311,Washtenaw_Joslin_GROW_20200225125514132_0057.jpg,duplicate,
58755312,Washtenaw_Joslin_GROW_20200225125514132_0072.jpeg,duplicate,
58755313,Washtenaw_Mill_GROW_20200225140104865_0033.jpeg,duplicate,
58755314,Washtenaw_Mill_GROW_20200225140104865_0051.jpg,duplicate,
58755315,Washtenaw_Mill_GROW_20200225140104865_0047.jpg,duplicate,
58755317,Washtenaw_Mill_GROW_20200225140104865_0053.jpg,duplicate,
82942104,Otsego_Big_GROW_6.jpeg,duplicate,
58749100,Cheboygan_SilverLake33N_3W_S11-12_FISHc_090.jpg,duplicate,
58749101,Cheboygan_SilverLake33N_3W_S11-12_FISHc_061.jpg,duplicate,
58749102,Cheboygan_SilverLake33N_3W_S11-12_FISHc_065.jpg,duplicate,
58749103,Cheboygan_SilverLake33N_1E_S33_FISHc_016.jpg,duplicate,
58749104,Cheboygan_SilverLake33N_3W_S11-12_FISHc_092.jpg,duplicate,
58749105,Cheboygan_SilverLake33N_3W_S11-12_FISHc_098.jpg,duplicate,
58749106,Cheboygan_SilverLake33N_3W_S11-12_FISHc_096.jpg,duplicate,
58749107,Cheboygan_SilverLake33N_3W_S11-12_FISHc_094.jpg,duplicate,
58749108,Cheboygan_SilverLake33N_3W_S11-12_FISHc_100.jpg,duplicate,
58749109,Cheboygan_SilverLake33N_3W_S11-12_FISHc_102.jpg,duplicate,
58749110,Cheboygan_SilverLake33N_3W_S11-12_FISHc_104.jpg,duplicate,
58749111,Cheboygan_SilverLake33N_3W_S11-12_FISHc_106.jpg,duplicate,
58749116,Cheboygan_SilverLake33N_3W_S11-12_FISHc_108.jpg,duplicate,
58751220,Houghton_Bob_31-585_1959_FISHc_002_01,duplicate,from Justin
58751221,Houghton_Bob_31-585_1959_FISHc_001_01,duplicate,
58751222,Houghton_Bob_31-585_1937_FISHc_001_01,duplicate,
58751223,Houghton_Bob_31-585_1959_FISHc_003_01,duplicate,
58751224,Houghton_Bob_31-585_1959_FISHc_004_01,duplicate,
58751225,Houghton_Bob_31-585_1959_FISHc_005_01,duplicate,
58751226,Houghton_Bob_31-585_1937_FISHc_002_01,duplicate,
58751227,Houghton_Bob_31-585_1959_FISHc_006_01,duplicate,
58751228,Houghton_Bob_31-585_1959_FISHc_007_01,duplicate,
58751229,Houghton_Bob_31-585_1959_FISHc_008_01,duplicate,
58751230,Houghton_Bob_31-585_1959_FISHc_009_01,duplicate,
58751231,Houghton_Bob_31-585_1961_FISHc_001_01,duplicate,
58751233,Houghton_Bob_31-585_1962_FISHc_001_01,duplicate,
58753506,Ottawa_Crockery_70-164_1977_FISHc_001_01,duplicate,
58753508,Ottawa_Crockery_70-164_1972_FISHc_001_01,duplicate,
58753510,Ottawa_Crockery_70-164_1980_FISHc_001_01,duplicate,
58751749,Iron_Deer_36-849_1949_FISHc_003_01,duplicate,
58751751,Iron_Deer_36-849_1949_FISHc_002_01,duplicate,
58751752,Iron_Deer_36-849_1949_FISHc_001_01,duplicate,
82937345,ALCONA_HARRISVILLLE_FISHc_0001_1,duplicate,
58753583,Schoolcraft_Indian_75-69_1937_FISHc_001_01,duplicate,
58753584,Schoolcraft_Indian_75-69_1928_FISHc_001_01,duplicate,
58753585,Schoolcraft_Indian_75-69_1937_FISHc_002_01,duplicate,
58753586,Schoolcraft_Indian_75-69_1937_FISHc_003_01,duplicate,
58753587,Schoolcraft_Indian_75-69_1937_FISHc_004_01,duplicate,
58753588,Schoolcraft_Indian_75-69_1937_FISHc_005_01,duplicate,
58753589,Schoolcraft_Indian_75-69_1937_FISHc_006_01,duplicate,
58753590,Schoolcraft_Indian_75-69_1937_FISHc_007_01,duplicate,
58753591,Schoolcraft_Indian_75-69_1937_FISHc_011_01,duplicate,
58753592,Schoolcraft_Indian_75-69_1937_FISHc_008_01,duplicate,
58753593,Schoolcraft_Indian_75-69_1937_FISHc_010_01,duplicate,
58753594,Schoolcraft_Indian_75-69_1937_FISHc_009_01,duplicate,
58753595,Schoolcraft_Indian_75-69_1937_FISHc_013_01,duplicate,
58753596,Schoolcraft_Indian_75-69_1937_FISHc_012_01,duplicate,
58753597,Schoolcraft_Indian_75-69_1937_FISHc_015_01,duplicate,
58753598,Schoolcraft_Indian_75-69_1937_FISHc_014_01,duplicate,
58753599,Schoolcraft_Indian_75-69_1937_FISHc_016_01,duplicate,
58753600,Schoolcraft_Indian_75-69_1937_FISHc_017_01,duplicate,
58753601,Schoolcraft_Indian_75-69_1937_FISHc_018_01,duplicate,
58753602,Schoolcraft_Indian_75-69_1937_FISHc_020_01,duplicate,
58753603,Schoolcraft_Indian_75-69_1937_FISHc_019_01,duplicate,
58753604,Schoolcraft_Indian_75-69_1937_FISHc_021_01,duplicate,
58753605,Schoolcraft_Indian_75-69_1937_FISHc_022_01,duplicate,
58753606,Schoolcraft_Indian_75-69_1937_FISHc_023_01,duplicate,
58753607,Schoolcraft_Indian_75-69_1937_FISHc_025_01,duplicate,
58753608,Schoolcraft_Indian_75-69_1937_FISHc_024_01,duplicate,
58753609,Schoolcraft_Indian_75-69_1937_FISHc_028_01,duplicate,
