"new_key","lat_dd","long_dd","mdnrid","nhdid"
"14-339",41.86888,-86.04231,"L28625","155637742"
"14-341",41.8662,-86.06237,"L27167","155637766"
"14-342",41.85277,-86.0587,"L31045","155637874"
"14-343",41.8543,-86.07962,"L23349","155637883"
"14-347",41.80872,-86.07834,"L48205",NA
"14-349",41.84263,-86.07077,"L30081","155637967"
"14-350",41.85165,-86.06787,"L24511","155637899"
"14-351",41.84809,-86.05322,NA,NA
"14-353",41.84415,-86.04565,"L25874","155637922"
"14-354",41.82995,-86.01993,"L27824","155638064"
"14-363",41.83249,-86.10648,"L26482","155638056"
"14-369",41.81999,-86.02731,"L23198","155638198"
"14-376",41.84388,-86.18342,"L28033","155637979"
"14-377",41.84249,-86.1587,"L31320","155638021"
"14-380",41.82883,-86.12315,"L24160","0cf5d04b-a0b0-44a1-a355-740fab234eba"
"14-386",41.79971,-85.83815,"L26069","155638278"
"14-390",41.77749,-85.82898,"L25801","155638468"
"14-391",41.77527,-85.82009,"L30763","155638635"
"14-392",41.76708,-85.80403,"L30687","155638864"
"14-393",41.76471,-85.82287,"L25589","155638927"
"14-394",41.75999,-85.83426,"L25366","155638929"
"14-399",41.80665,-85.95037,"L27470","155638340"
"14-4",42.0611,-85.85759,"L30121","155636492"
"14-400",41.803266,-85.999439,"L29929","{5C3D6628-93FF-4E3F-943A-7F19734D01A3}"
"14-400-GRP",41.81011,-85.98496,"L31705","155638339"
"14-406",41.7936,-85.91037,"L29215","155638552"
"14-408",41.80388,-86.02565,"L31704","155638400"
"14-409",41.80388,-86.05092,"L27449","155638569"
"14-411",41.80582,-86.06092,"L28647","155638525"
"14-412",41.80084,-86.07323,"L28197","155638640"
"14-416",41.80406,-86.08446,"L27272","155638615"
"14-418",41.80332,-86.08954,"L25326","155638593"
"14-428",41.79132,-86.06327,"L29213","155638785"
"14-429",41.7786,-86.05148,"L31639","155638930"
"14-47",42.04463,-85.9041,"L30762","155636581"
"14-5",42.04915,-85.86037,"L26209","155636555"
"14-50",42.02678,-85.94545,NA,NA
"14-51",42.01661,-85.88299,"L24857","155636717"
"14-52",42.01543,-85.88924,"L30837","155636719"
"14-53",42.02222,-85.89429,"L30119","99a4b76f-3a0a-43c7-9eb0-8f9b08a3c150"
"14-54",42.00693,-85.88454,"L29049","155636769"
